표준노드ID,노드명,노드유형코드,회전제한여부,경도,위도,적용시작일자
1570271000,속성변화점,103,0,128.456386,35.698161,2020-09-01
1570271100,속성변화점,103,0,128.456449,35.697219,2020-09-01
1570271200,속성변화점,103,0,128.458286,35.698211,2020-09-01
1570271300,속성변화점,103,0,128.458299,35.697253,2020-09-01
1570271400,속성변화점,103,0,128.459699,35.697228,2020-09-01
1570271500,속성변화점,103,0,128.460461,35.698202,2020-09-01
1570271600,봉리595,101,0,128.460823,35.697728,2020-09-01
1570271700,봉리578-20,101,0,128.460798,35.699019,2020-09-01
1570271800,봉리625-5,102,0,128.461836,35.699019,2020-09-01
1570271900,봉리635,101,0,128.459661,35.699027,2020-09-01
1570272000,봉리631,101,0,128.459049,35.699027,2020-09-01
1570272100,과학기술원사거리,101,0,128.458111,35.699411,2020-09-01
1570272200,봉리631,101,0,128.459049,35.699411,2020-09-01
1570272300,봉리578-20,101,0,128.459661,35.699411,2020-09-01
1570272400,과학기술원사거리,101,0,128.457361,35.699411,2020-09-01
1570272500,중리629,101,0,128.456386,35.699386,2020-09-01
1570272600,중리629,101,0,128.456411,35.698969,2020-09-01
1570272700,속성변화점,103,0,128.455211,35.699227,2020-09-01
1570272800,상리955-4,101,0,128.453174,35.699602,2020-09-01
1570272900,상리443-3,102,0,128.453687,35.699152,2020-09-01
1570273000,상리963-12,102,0,128.452674,35.700069,2020-09-01
1570273100,상리953-6,101,0,128.454249,35.701535,2020-09-01
1570273200,쌍계리628,101,0,128.463648,35.700236,2020-09-01
1570273300,쌍계리628,101,0,128.463886,35.700352,2020-09-01
1570273400,쌍계리629,101,1,128.464248,35.700527,2020-09-01
1570273500,쌍계리630-10,101,0,128.465211,35.700994,2020-09-01
1570273600,쌍계리654,101,0,128.46616,35.70146,2020-09-01
1570273700,쌍계리649,101,0,128.466548,35.70166,2020-09-01
1570273800,쌍계리572-7,101,0,128.466073,35.70231,2020-09-01
1570273900,쌍계리248-8,102,0,128.46591,35.702527,2020-09-01
1570274000,쌍계리615-9,101,0,128.464686,35.70166,2020-09-01
1570274100,쌍계리620-3,101,0,128.463386,35.701036,2020-09-01
1570274200,쌍계리618-6,102,0,128.463261,35.70121,2020-09-01
1570274300,쌍계리645,101,0,128.464948,35.701327,2020-09-01
1570274400,쌍계리646,101,0,128.464423,35.699594,2020-09-01
1570274500,쌍계삼거리,101,0,128.464123,35.699486,2020-09-01
1570274600,쌍계삼거리,101,0,128.463273,35.699611,2020-09-01
1570274700,쌍계리628,101,0,128.463898,35.699844,2020-09-01
1570274800,속성변화점,103,0,128.466873,35.700611,2020-09-01
1570274900,부리440,102,0,128.446312,35.696636,2020-09-01
1570275000,현풍교교차로,101,0,128.445212,35.696411,2020-09-01
1570275100,부리343-2,101,0,128.445562,35.698219,2020-09-01
1570275200,부리346-6,101,0,128.445687,35.698644,2020-09-01
1570275300,하리557,102,0,128.425814,35.741581,2020-09-01
1570275400,북리580-6,102,0,128.447912,35.731421,2020-09-01
1570275500,북리1-26,101,1,128.453111,35.730341,2020-09-01
1570275600,삼리1교차로,101,0,128.40569,35.764811,2020-09-01
1570275700,삼리리620,102,0,128.406003,35.765328,2020-09-01
1570275800,공단1교,104,0,128.446174,35.726882,2020-09-01
1570275900,공단5교,104,0,128.449987,35.728516,2020-09-01
1570276000,공단2교,104,0,128.453336,35.730032,2020-09-01
1570276100,공단4교,104,0,128.458898,35.732757,2020-09-01
1570276200,북리453-2,101,0,128.453711,35.726783,2020-09-01
1570276300,북리466,101,0,128.451824,35.725741,2020-09-01
1570276400,남리735,101,0,128.452424,35.72365,2020-09-01
1570276500,남리649,101,0,128.450174,35.723741,2020-09-01
1570276600,남리667-6,101,0,128.449649,35.724624,2020-09-01
1570276700,남리676-2,101,0,128.449262,35.725458,2020-09-01
1570276800,남리573-2,101,0,128.448862,35.726058,2020-09-01
1570276900,남리577-137,101,0,128.448349,35.725083,2020-09-01
1570277000,남리656-12,101,0,128.448899,35.724299,2020-09-01
1570277100,남리636-8,101,0,128.449537,35.723441,2020-09-01
1570277200,남리635,102,0,128.448962,35.723166,2020-09-01
1570277300,북리835-17,101,0,128.450162,35.727266,2020-09-01
1570277400,북리834-3,101,0,128.450637,35.727507,2020-09-01
1570277500,북리833-173,101,0,128.450537,35.727666,2020-09-01
1570277600,북리474-40,101,0,128.450824,35.727224,2020-09-01
1570277700,북리485-2,101,0,128.452636,35.727941,2020-09-01
1570277800,북리1046-4,101,0,128.452186,35.728466,2020-09-01
1570277900,본리리29-112,102,0,128.472397,35.731957,2020-09-01
1570278000,상리495,102,0,128.419014,35.750405,2020-09-01
1570278100,삼리1교차로,101,0,128.405553,35.76457,2020-09-01
1570278200,삼리리462-1,102,0,128.40369,35.765086,2020-09-01
1570278300,위천리18-3,101,1,128.403878,35.76277,2020-09-01
1570278400,위천리48,102,0,128.404103,35.762237,2020-09-01
1570278500,삼리리156-2,102,0,128.406915,35.769977,2020-09-01
1570278600,논공교차로,102,0,128.420426,35.773002,2020-09-01
1570278700,금포리2058-8,101,0,128.419314,35.775085,2020-09-01
1570278800,금포리1743,102,0,128.423263,35.771411,2020-09-01
1570278900,금포리2406-155,102,0,128.423276,35.771986,2020-09-01
1570279000,금포1교,101,0,128.42363,35.77159,2020-09-01
1570279100,금포리1629,101,0,128.426838,35.769378,2020-09-01
1570279200,금포리1633,101,0,128.427813,35.769828,2020-09-01
1570279300,금포리1622-5,101,0,128.428226,35.770003,2020-09-01
1570279400,금포리1613,101,0,128.4294,35.770636,2020-09-01
